,Color,RED,GREEN,BLUE
0,1,124,10,2
1,1,204,0,0
2,1,203,65,84
3,1,227,0,34
4,1,255,8,0
5,1,255,0,56
6,1,224,60,49
7,1,170,56,30
8,1,203,109,81
9,1,255,64,64
10,1,179,27,27
11,1,164,0,0
12,1,194,59,34
13,1,139,0,0
14,1,215,10,83
15,1,102,66,77
16,1,128,24,24
17,1,255,40,0
18,1,206,32,41
19,1,205,92,92
20,1,233,116,81
21,1,226,6,44
22,1,187,51,133
23,1,121,68,59
24,1,199,21,133
25,1,174,12,0
26,1,255,69,0
27,1,153,0,0
28,1,219,112,147
29,1,219,112,147
30,1,255,105,97
31,1,204,51,51
32,1,255,53,94
33,1,255,0,0
34,1,165,42,42
35,1,134,1,17
36,1,242,0,60
37,1,196,2,51
38,1,255,83,73
39,1,237,28,36
40,1,254,39,18
41,1,199,21,133
42,1,171,78,82
43,1,209,0,86
44,1,155,17,30
45,1,218,44,67
46,1,253,14,53
47,1,124,72,72
48,1,217,0,76
49,1,174,32,41
50,1,200,8,21
51,2,164,198,57
52,2,141,182,0
53,2,75,83,32
54,2,13,152,186
55,2,0,106,78
56,2,102,255,0
57,2,0,66,37
58,2,0,107,60
59,2,30,77,43
60,2,120,134,107
61,2,0,204,153
62,2,47,132,124
63,2,1,50,32
64,2,26,36,33
65,2,85,107,47
66,2,3,192,60
67,2,143,188,143
68,2,23,114,69
69,2,0,112,60
70,2,0,75,73
71,2,0,255,0
72,2,79,121,66
73,2,1,68,33
74,2,34,139,34
75,2,0,255,0
76,2,28,172,120
77,2,0,128,0
78,2,0,168,119
79,2,0,159,107
80,2,0,165,80
81,2,102,176,50
82,2,173,255,47
83,2,0,255,127
84,2,73,121,107
85,2,53,94,59
86,2,19,136,8
87,2,0,144,0
88,2,41,171,135
89,2,76,187,23
90,2,8,120,48
91,2,169,186,157
92,2,124,252,0
93,2,144,238,144
94,2,32,178,170
95,2,50,205,50
96,2,0,255,0
97,2,25,89,5
98,2,28,53,45
99,2,60,179,113
100,2,0,250,154
101,2,0,73,83
102,2,152,255,152
103,2,173,223,173
104,2,24,69,59
105,2,42,128,0
106,2,57,255,20
107,2,5,144,51
108,2,0,128,0
109,2,0,102,0
110,2,152,251,152
111,2,80,200,120
112,2,119,221,119
113,2,0,166,147
114,2,18,53,36
115,2,1,121,111
116,2,65,72,51
117,2,0,86,63
118,2,80,125,42
119,2,118,255,122
120,2,46,139,87
121,2,0,158,96
122,2,0,255,127
123,2,208,240,192
124,2,0,130,127
125,2,160,214,180
126,2,60,208,112
127,2,1,68,33
128,2,154,205,50
129,3,93,138,168
130,3,0,48,143
131,3,114,160,193
132,3,240,248,255
133,3,137,207,240
134,3,161,202,241
135,3,33,171,205
136,3,188,212,230
137,3,172,229,238
138,3,0,0,255
139,3,162,162,208
140,3,31,117,254
141,3,102,153,204
142,3,13,152,186
143,3,0,147,175
144,3,0,135,189
145,3,51,51,153
146,3,2,71,254
147,3,18,97,128
148,3,138,43,226
149,3,0,149,182
150,3,0,112,255
151,3,95,158,160
152,3,163,193,173
153,3,153,186,221
154,3,6,42,120
155,3,0,123,167
156,3,73,151,208
157,3,42,82,190
158,3,0,122,165
159,3,155,221,255
160,3,100,149,237
161,3,0,0,139
162,3,83,104,120
163,3,0,65,106
164,3,0,51,102
165,3,119,158,203
166,3,0,51,153
167,3,72,61,139
168,3,0,191,255
169,3,30,144,255
170,3,0,0,156
171,3,16,52,166
172,3,125,249,255
173,3,150,200,162
174,3,0,114,187
175,3,68,108,207
176,3,0,127,191
177,3,0,35,149
178,3,0,47,167
179,3,204,204,255
180,3,173,216,230
181,3,147,204,234
182,3,135,206,250
183,3,108,160,220
184,3,96,80,220
185,3,115,194,251
186,3,0,0,205
187,3,3,80,150
188,3,0,103,165
189,3,123,104,238
190,3,25,25,112
191,3,115,169,194
192,3,0,0,128
193,3,164,221,237
194,3,0,119,190
195,3,0,33,71
196,3,39,59,226
197,3,175,238,238
198,3,171,205,239
199,3,150,222,209
200,3,174,198,207
201,3,28,57,187
202,3,0,15,137
203,3,176,224,230
204,3,0,49,83
205,3,0,35,135
206,3,8,146,208
207,3,0,204,204
208,3,0,35,102
209,3,65,105,225
210,3,0,103,165
211,3,0,105,148
212,3,135,206,235
213,3,106,90,205
214,3,0,51,153
215,3,35,41,122
216,3,70,130,180
217,3,54,117,136
218,3,10,186,181
219,3,0,115,207
220,3,65,125,193
221,3,0,255,239
222,3,0,51,170
223,3,83,104,149
224,3,65,102,245
225,3,91,146,229
226,3,0,79,152
227,3,50,74,178
228,3,162,173,208
229,3,15,77,1463
